iter	Passed	Remaining
0	155	155054
1	164	82044
2	172	57276
3	178	44373
4	182	36331
5	186	30909
6	190	27013
7	194	24123
8	198	21846
9	202	20025
10	206	18529
11	210	17318
12	214	16284
13	218	15373
14	222	14587
15	226	13920
16	230	13329
17	234	12791
18	238	12312
19	242	11901
20	246	11504
21	250	11145
22	254	10826
23	259	10542
24	263	10262
25	266	10001
26	270	9757
27	275	9553
28	279	9359
29	283	9164
30	287	8980
31	291	8824
32	295	8666
33	299	8517
34	303	8372
35	308	8251
36	312	8125
37	316	8003
38	320	7886
39	324	7783
40	328	7677
41	332	7573
42	336	7481
43	340	7399
44	344	7311
45	348	7224
46	352	7142
47	356	7074
48	360	7001
49	364	6928
50	368	6858
51	373	6800
52	377	6736
53	381	6675
54	384	6613
55	389	6564
56	393	6514
57	397	6460
58	401	6404
59	405	6356
60	409	6307
61	413	6259
62	417	6210
63	421	6170
64	426	6130
65	430	6085
66	433	6042
67	438	6008
68	442	5968
69	446	5929
70	450	5890
71	454	5860
72	458	5825
73	462	5789
74	466	5755
75	471	5726
76	475	5694
77	479	5663
78	483	5631
79	487	5607
80	491	5579
81	495	5548
82	499	5519
83	504	5496
84	507	5468
85	511	5439
86	515	5410
87	519	5386
88	523	5360
89	527	5333
90	531	5308
91	535	5285
92	539	5265
93	543	5242
94	548	5222
95	552	5206
96	557	5188
97	561	5168
98	565	5146
99	569	5128
100	573	5108
101	577	5088
102	581	5067
103	586	5052
104	590	5034
105	594	5013
106	598	4993
107	602	4979
108	606	4961
109	610	4942
110	614	4923
111	619	4908
112	623	4892
113	627	4873
114	630	4855
115	635	4843
116	639	4826
117	643	4808
118	647	4791
119	651	4775
120	655	4759
121	658	4742
122	662	4727
123	667	4713
124	671	4700
125	675	4683
126	678	4666
127	682	4651
128	686	4637
129	690	4622
130	694	4608
131	698	4594
132	703	4584
133	707	4572
134	711	4558
135	715	4545
136	719	4533
137	723	4519
138	727	4505
139	730	4490
140	735	4478
